,Time,Signal,State
1032,45.36842107772827,62.0,1.0
1033,45.42105269432068,76.0,1.0
1034,45.47368407249451,61.0,1.0
1035,45.526315689086914,40.0,0.0
1036,45.57894730567932,31.0,0.0
1037,45.63157892227173,27.0,0.0
1038,45.684210538864136,26.0,0.0
1039,45.73684215545654,26.0,0.0
1040,45.78947353363037,26.0,0.0
1041,45.84210515022278,27.0,0.0
1042,45.894736766815186,27.0,0.0
1043,45.94736838340759,27.0,0.0
1044,46.0,28.0,0.0
1045,46.05263161659241,28.0,0.0
1046,46.105263233184814,28.0,0.0
1047,46.15789461135864,28.0,0.0
1048,46.21052622795105,29.0,0.0
1049,46.26315784454346,28.0,0.0
1050,46.315789461135864,28.0,0.0
1051,46.36842107772827,29.0,0.0
1052,46.42105269432068,36.0,0.0
1053,46.47368407249451,38.0,0.0
1054,46.526315689086914,42.0,0.0
1055,46.57894730567932,51.0,0.0
1056,46.63157892227173,85.0,1.0
1057,46.684210538864136,93.0,1.0
1058,46.73684215545654,102.0,1.0
1059,46.78947353363037,106.0,1.0
1060,46.84210515022278,155.0,1.0
1061,46.894736766815186,153.0,1.0
1062,46.94736838340759,128.0,1.0
1063,47.0,134.0,1.0
1064,47.05263161659241,112.0,1.0
1065,47.105263233184814,116.0,1.0
1066,47.15789461135864,95.0,1.0
1067,47.21052622795105,101.0,1.0
1068,47.26315784454346,114.0,1.0
1069,47.315789461135864,93.0,1.0
1070,47.36842107772827,90.0,1.0
1071,47.42105269432068,101.0,1.0
1072,47.47368407249451,93.0,1.0
1073,47.526315689086914,88.0,1.0
1074,47.57894730567932,95.0,1.0
1075,47.63157892227173,94.0,1.0
1076,47.684210538864136,81.0,1.0
1077,47.73684215545654,85.0,1.0
1078,47.78947353363037,93.0,1.0
1079,47.84210515022278,83.0,1.0
1080,47.894736766815186,84.0,1.0
1081,47.94736838340759,83.0,1.0
1082,48.0029239654541,90.0,1.0
1083,48.05847954750061,89.0,1.0
1084,48.11403512954712,77.0,1.0
1085,48.16959071159363,100.0,1.0
1086,48.22514605522156,76.0,1.0
1087,48.280701637268066,79.0,1.0
1088,48.336257219314575,94.0,1.0
1089,48.391812801361084,93.0,1.0
1090,48.44736838340759,94.0,1.0
1091,48.5029239654541,71.0,1.0
1092,48.55847954750061,80.0,1.0
1093,48.61403512954712,74.0,1.0
1094,48.66959071159363,69.0,1.0
1095,48.72514605522156,90.0,1.0
1096,48.780701637268066,63.0,1.0
1097,48.836257219314575,73.0,1.0
1098,48.891812801361084,53.0,0.0
1099,48.94736838340759,41.0,0.0
1100,49.0,30.0,0.0
1101,49.05263161659241,27.0,0.0
1102,49.105263233184814,26.0,0.0
1103,49.15789461135864,25.0,0.0
1104,49.21052622795105,26.0,0.0
1105,49.26315784454346,26.0,0.0
1106,49.315789461135864,26.0,0.0
1107,49.36842107772827,26.0,0.0
1108,49.42105269432068,27.0,0.0
1109,49.47368407249451,26.0,0.0
1110,49.526315689086914,27.0,0.0
1111,49.57894730567932,27.0,0.0
1112,49.63157892227173,28.0,0.0
1113,49.684210538864136,27.0,0.0
1114,49.73684215545654,27.0,0.0
1115,49.78947353363037,27.0,0.0
1116,49.84210515022278,28.0,0.0
1117,49.894736766815186,27.0,0.0
1118,49.94736838340759,27.0,0.0
1119,50.0,28.0,0.0
1120,50.05263161659241,28.0,0.0
1121,50.105263233184814,27.0,0.0
1122,50.15789461135864,27.0,0.0
1123,50.21052622795105,28.0,0.0
1124,50.26315784454346,27.0,0.0
1125,50.315789461135864,26.0,0.0
1126,50.36842107772827,27.0,0.0
